fecha,temp_media
2017-05-07,18.33816355810612
2017-05-08,18.340668523676843
2017-05-09,17.298408882783875
2017-05-10,16.508756868131858
2017-05-11,15.451730418943527
2017-05-12,15.425739981785073
2017-05-13,16.166336520947173
2017-05-14,15.94913597089586
2017-05-15,12.451947463768112
2017-05-16,11.037364130434783
2017-05-17,10.824231117141569
2017-05-18,10.943294889190431
2017-05-19,11.349491180461305
2017-05-20,11.465910117434525
2017-05-21,11.835252935862705
2017-05-22,14.586269196025286
2017-05-23,14.910444896115616
2017-05-24,14.235185185185196
2017-05-25,14.315401987353196
2017-05-26,14.115593947606149
2017-05-27,14.174175700090327
2017-05-28,13.350169376693758
2017-05-29,12.560532250789368
2017-05-30,13.254679747406405
2017-05-31,14.449515110509708
2017-06-01,15.565234551195324
2017-06-02,16.07264321154713
2017-06-03,16.659043752819134
2017-06-04,17.592185385656286
2017-06-05,18.44803788903925
2017-06-06,17.60130807397384
2017-06-07,16.202654071075116
2017-06-08,14.714428699955013
2017-06-09,15.626653171390016
2017-06-10,17.335695006747635
2017-06-11,19.350449842555086
2017-06-12,21.296378767431392
2017-06-13,21.166655420602783
2017-06-14,21.272644444444413
2017-06-15,21.21151797603192
2017-06-16,21.577316689158792
2017-06-17,19.00484705353125
2017-06-18,16.262194851309353
2017-06-19,16.020983133599643
2017-06-20,17.422470039946745
2017-06-21,18.328839325343964
2017-06-22,19.340102086107386
2017-06-23,19.656802041722127
2017-06-24,18.979172214824658
2017-06-25,19.591522414558337
2017-06-26,19.824988903683977
2017-06-27,19.90632490013314
2017-06-28,20.080193075898773
2017-06-29,21.095994229915668
2017-06-30,21.9974
2017-07-01,21.911433333333324
2017-07-02,21.87833333333333
2017-07-03,22.742399999999947
2017-07-04,23.698592641843966
2017-07-05,23.967398049645357
2017-07-06,24.41562499999998
2017-07-07,24.505950797872337
2017-07-08,24.70022163120565
2017-07-09,25.02204122340425
2017-07-10,24.763585992907768
2017-07-11,24.286347517730487
2017-07-12,24.154355053191466
2017-07-13,23.65271498226947
2017-07-14,22.96380762411345
2017-07-15,23.05282579787233
2017-07-16,23.664483599290786
2017-07-17,23.665669326241144
2017-07-18,23.33662455673755
2017-07-19,23.60426640070923
2017-07-20,23.802271719858126
2017-07-21,23.52787012411347
2017-07-22,23.500387854609922
2017-07-23,23.56942597517732
2017-07-24,23.93348847517732
2017-07-25,24.391145833333322
2017-07-26,23.765492021276582
2017-07-27,22.205839982269488
2017-07-28,21.537677304964518
2017-07-29,21.645755762411326
2017-07-30,23.085837765957432
2017-07-31,24.772617464539035
2017-08-01,25.06325354609929
2017-08-02,24.278091755319128
2017-08-03,23.072706117021266
2017-08-04,23.691699911347516
2017-08-05,23.943273492907768
2017-08-06,23.400797872340398
2017-08-07,22.088829787234047
2017-08-08,21.13492907801417
2017-08-09,22.337533244680838
2017-08-10,23.76380762411348
2017-08-11,24.74495789007094
2017-08-12,24.611870026525178
2017-08-13,23.94315673289185
2017-08-14,24.149999999999967
2017-08-15,24.347317880794662
2017-08-16,24.277682119205284
2017-08-17,23.732836644591604
2017-08-18,24.217119205298022
2017-08-19,24.339911699779233
2017-08-20,24.286335540838852
2017-08-21,24.830375275938174
2017-08-22,24.393554083885192
2017-08-23,23.98769315673287
2017-08-24,22.709459161147908
2017-08-25,21.63855408388521
2017-08-26,20.98401766004412
2017-08-27,20.988156732891813
2017-08-28,20.80678807947018
2017-08-29,20.1066114790287
2017-08-30,20.546766004414984
2017-08-31,20.871633554083875
2017-09-01,21.524282560706386
2017-09-02,21.970022075055162
2017-09-03,22.391169977924942
2017-09-04,22.338774834437093
2017-09-05,21.213068432671076
2017-09-06,20.44034216335537
2017-09-07,19.059569536423822
2017-09-08,19.129150110375267
2017-09-09,19.51933774834437
2017-09-10,20.14614790286973
2017-09-11,19.316766004414987
2017-09-12,19.23296909492272
2017-09-13,20.418576158940386
2017-09-14,20.65481236203087
2017-09-15,20.25286975717437
2017-09-16,19.9635540838852
2017-09-17,19.658366445916094
2017-09-18,19.70285871964678
2017-09-19,20.09966887417215
2017-09-20,20.23026490066225
2017-09-21,20.79775938189844
2017-09-22,21.084293598233995
2017-09-23,21.358509933774823
2017-09-24,21.109713024282566
2017-09-25,21.19688741721853
2017-09-26,20.994690949227373
2017-09-27,20.846821192052985
2017-09-28,19.46365342163353
2017-09-29,18.96676600441499
2017-09-30,19.926854304635746
2017-10-01,20.939370860927127
2017-10-02,21.119856512141293
2017-10-03,20.696335540838827
2017-10-04,19.332119205297992
2017-10-05,18.076004415011013
2017-10-06,17.915982339955853
2017-10-07,17.524039735099333
2017-10-08,17.456556291390708
2017-10-09,17.399580573951404
2017-10-10,16.853780864197528
2017-10-11,15.502480158730163
2017-10-12,14.82614638447973
2017-10-13,15.504805996472669
2017-10-14,16.498511904761894
2017-10-15,17.80950176366843
2017-10-16,19.04573412698411
2017-10-17,18.68906525573193
2017-10-18,18.866490299823614
2017-10-19,18.322883597883592
2017-10-20,17.639902998236312
2017-10-21,17.286706349206327
2017-10-22,16.917570546737213
2017-10-23,17.440399029982363
2017-10-24,17.35019841269841
2017-10-25,17.415939153439158
2017-10-26,16.910130070546728
2017-10-27,16.823126102292733
2017-10-28,16.245403439153428
2017-10-29,13.10902777777778
2017-10-30,11.885835537918878
2017-10-31,12.054354056437392
2017-11-01,13.31628086419752
2017-11-02,15.497299382716058
2017-11-03,14.327513227513228
2017-11-04,13.524503968253985
2017-11-05,16.58807146027518
2017-11-06,16.543497558810493
2017-11-07,15.183566355969825
2017-11-08,13.734485815602849
